"Название";"Цена";"Двигатель";"Комплектация";"Коробка передач";"Мощность";"Поколение";"Привод";"Пробег";"Руль";"Тип кузова";"Цвет";"Особые отметки";"url"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1600000.0";"бензин, 2.0 л";"";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"204000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/913403766.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"2050000.0";"бензин, 2.4 л";"2.4 AT Long Престиж Плюс";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"179824.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/299526531.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1600000.0";"бензин, 2.4 л";"";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"135000.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/434232350.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3460000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"121000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/409799045.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1300000.0";"бензин, 2.0 л";"2.0 AT Executive";"АКПП";"152 л.с.";"3 поколение";"4WD";"303423.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/885756655.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"970000.0";"бензин, 2.0 л";"2.0 L X";"АКПП";"152 л.с.";"2 поколение";"4WD";"328997.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53655521.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2250000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"4WD";"148000.0";"левый";"джип/suv 5 дв.";"золотистый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/837955404.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"1799000.0";"бензин, 2.0 л";"";"механика";"146 л.с.";"4 поколение";"передний";"112000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/852685394.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1450000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"262000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/741303041.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1457000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"273000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/299121188.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1795000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"233000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/818408168.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"2850000.0";"бензин, 2.0 л";"2.0 CVT 4WD 25th Anniversary";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"130000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/669280038.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3450000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"85000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/387271464.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1170000.0";"бензин, 2.0 л";"2.0 AT Sol";"АКПП";"152 л.с.";"3 поколение";"4WD";"208000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/600409400.html"
"Продажа Toyota RAV4, 2015 год в Иркутске";"3150000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"87000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/120260879.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2650000.0";"бензин, 2.0 л";"";"механика";"146 л.с.";"4 поколение, рестайлинг";"4WD";"172000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/142466702.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2730000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж Black";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"131200.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/347923295.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1320000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"200000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/476743603.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3400000.0";"бензин, 2.5 л";"";"АКПП";"203 л.с.";"5 поколение";"4WD";"75500.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/720916796.html"
"Продажа Toyota RAV4, 1995 год в Иркутске";"400000.0";"бензин, 2.0 л";"";"АКПП";"135 л.с.";"1 поколение";"4WD";"367000.0";"правый";"джип/suv 5 дв.";"белый";"требуется ремонт или не на ходу";"https://auto.drom.ru/irkutsk/toyota/rav4/797872335.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"710000.0";"бензин, 2.0 л";"2.0 J X";"АКПП";"152 л.с.";"2 поколение";"4WD";"257000.0";"правый";"джип/suv 3 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/690267416.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2900000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт Плюс";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"173.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/543007076.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2490000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"81000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/842303771.html"
"Продажа Toyota RAV4, 1996 год в Иркутске";"590000.0";"бензин, 2.0 л";"2.0 J V";"АКПП";"135 л.с.";"1 поколение";"4WD";"322000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/851843579.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1800000.0";"бензин, 2.0 л";"2.0 CVT 4WD Executive";"вариатор";"151 л.с.";"4 поколение";"4WD";"245000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/707764577.html"
"Продажа Toyota RAV4, 2009 год в Иркутске";"1888000.0";"бензин, 2.4 л";"2.4 АТ Престиж Long";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"138000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/654691933.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1520000.0";"бензин, 2.0 л";"2.0 CVT 4WD Life";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"186000.0";"левый";"джип/suv 5 дв.";"";"";"https://auto.drom.ru/irkutsk/toyota/rav4/319195645.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4200000.0";"бензин, 2.5 л";"";"АКПП";"199 л.с.";"5 поколение";"4WD";"54070.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/367450354.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2600000.0";"бензин, 2.0 л";"2.0 CVT 4WD Exclusive";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"113100.0";"левый";"джип/suv 5 дв.";"бордовый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/383556661.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3420000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"92500.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/412044751.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1458888.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"195000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/558427169.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3500000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"149 л.с.";"5 поколение";"передний";"35200.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/575533487.html"
"Продажа Toyota RAV4, 1995 год в Иркутске";"520000.0";"бензин, 2.0 л";"2.0 J V";"АКПП";"135 л.с.";"1 поколение";"4WD";"422225.0";"правый";"джип/suv 5 дв.";"бордовый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/846698893.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1560000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"168375.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/895168223.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2750000.0";"дизель, 2.2 л";"2.2TD AT 4WD Престиж Плюс";"АКПП";"150 л.с.";"4 поколение, рестайлинг";"4WD";"70000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/902872707.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1299000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"118500.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/737425759.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2539000.0";"бензин, 2.0 л";"2.0 CVT 4WD Exclusive";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"80000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/348115400.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2158000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"4WD";"141000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/495891712.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2529000.0";"бензин, 2.0 л";"2.0 CVT 4WD Exclusive";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"77000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/54024035.html"
"Продажа Toyota RAV4, 2002 год в Иркутске";"900000.0";"бензин, 2.0 л";"2.0 AT 4WD";"АКПП";"150 л.с.";"2 поколение";"4WD";"235000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/741837014.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3499999.0";"бензин, 2.0 л";"2.0 CVT 4WD 25th Anniversary";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"137278.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/52477404.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2548000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"169870.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/890101539.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1250000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"286000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/732558908.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"2775000.0";"бензин, 2.0 л";"2.0 X";"вариатор";"171 л.с.";"5 поколение";"передний";"63223.0";"правый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/696438745.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1185000.0";"бензин, 2.0 л";"2.0 AT Executive";"АКПП";"152 л.с.";"3 поколение";"4WD";"296000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/551587619.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1200000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"246733.0";"левый";"джип/suv 5 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/411073805.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1285000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"200000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/623147988.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4150000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"63649.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/441741697.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1850000.0";"бензин, 2.0 л";"2.0 CVT 2WD Стандарт";"вариатор";"146 л.с.";"4 поколение";"передний";"256000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/268874847.html"
"Продажа Toyota RAV4, 1999 год в Иркутске";"480000.0";"бензин, 2.0 л";"2.0 L V type G";"АКПП";"180 л.с.";"1 поколение, рестайлинг";"4WD";"356626.0";"правый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/413419456.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1833000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"передний";"134000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/134460092.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"800000.0";"бензин, 1.8 л";"1.8 J X G package";"АКПП";"125 л.с.";"2 поколение";"передний";"302000.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/366338594.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1300000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"180000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/627211202.html"
"Продажа Toyota RAV4, 2015 год в Иркутске";"2590000.0";"бензин, 2.5 л";"2.5 AT 4WD Элеганс Плюс";"АКПП";"180 л.с.";"4 поколение";"4WD";"129300.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/368906251.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"1760000.0";"бензин, 2.0 л";"";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"118112.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/526360175.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1890000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"4WD";"163319.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/172580095.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3600000.0";"бензин, 2.0 л";"";"вариатор";"171 л.с.";"5 поколение";"4WD";"25000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/192850136.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1650000.0";"бензин, 2.0 л";"";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"169000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/606700953.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2860000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"145000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/533066961.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2150000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"4WD";"160465.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/556040211.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3480000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"149 л.с.";"5 поколение";"4WD";"95000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/210667486.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2590000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Плюс";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"192000.0";"левый";"джип/suv 5 дв.";"";"";"https://auto.drom.ru/irkutsk/toyota/rav4/367989092.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2300000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"67500.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/329488487.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3500000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"149 л.с.";"5 поколение";"передний";"39000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/48296874.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2280000.0";"бензин, 2.0 л";"2.0 CVT 2WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"передний";"164000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/141989703.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3290000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"67000.0";"левый";"джип/suv 5 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/270090600.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3290000.0";"бензин, 2.0 л";"2.0 G Z Package 4WD";"вариатор";"171 л.с.";"5 поколение";"4WD";"57200.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/273176366.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1200000.0";"бензин, 2.0 л";"2.0 АТ Стандарт";"АКПП";"152 л.с.";"3 поколение, рестайлинг";"4WD";"191000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/374980037.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2650000.0";"бензин, 2.0 л";"2.0 CVT 2WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"передний";"102000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/169000312.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2600000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Плюс";"АКПП";"180 л.с.";"4 поколение";"4WD";"128000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/693599580.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2850000.0";"бензин, 2.0 л";"2.0 CVT 4WD Adventure";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"118000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/509084166.html"
"Продажа Toyota RAV4, 1995 год в Иркутске";"650000.0";"бензин, 2.0 л";"";"АКПП";"128 л.с.";"1 поколение";"4WD";"200000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/912962074.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3850000.0";"бензин, 2.5 л, гибрид";"2.5 Hybrid X 4WD";"вариатор";"178 л.с.";"5 поколение";"4WD";"57000.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53097720.html"
"Продажа Toyota RAV4, 2004 год в Иркутске";"998000.0";"бензин, 2.4 л";"2.4 AT";"АКПП";"161 л.с.";"2 поколение, рестайлинг";"4WD";"112000.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/652590715.html"
"Продажа Toyota RAV4, 2003 год в Иркутске";"850000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"2 поколение";"4WD";"220000.0";"правый";"джип/suv 3 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/680985520.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1975000.0";"бензин, 2.0 л";"2.0 CVT 4WD Стандарт";"вариатор";"146 л.с.";"4 поколение";"4WD";"234305.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/539131905.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3200000.0";"бензин, 2.0 л";"";"вариатор";"173 л.с.";"5 поколение";"4WD";"32000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/253738948.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3500000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Safety";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"116000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/186769704.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1450000.0";"бензин, 2.4 л";"";"вариатор";"170 л.с.";"3 поколение, рестайлинг";"передний";"235000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/311737828.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1150000.0";"бензин, 2.0 л";"2.0 AT Sol";"АКПП";"152 л.с.";"3 поколение";"4WD";"245000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/124192716.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1450000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"300000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53103870.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"745000.0";"бензин, 1.8 л";"1.8 L Aero Sport";"АКПП";"125 л.с.";"2 поколение";"передний";"200000.0";"правый";"джип/suv 3 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/779726315.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4498000.0";"бензин, 2.5 л";"";"АКПП";"199 л.с.";"5 поколение";"4WD";"64500.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/191442111.html"
"Продажа Toyota RAV4, 1997 год в Иркутске";"580000.0";"бензин, 2.0 л";"";"АКПП";"135 л.с.";"1 поколение";"4WD";"496205.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/677463244.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"2895000.0";"бензин, 2.0 л";"2.0 X";"вариатор";"171 л.с.";"5 поколение";"передний";"56000.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/819445915.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"250000.0";"бензин, 1.8 л";"";"АКПП";"125 л.с.";"2 поколение";"передний";"700000.0";"правый";"джип/suv 5 дв.";"черный";"требуется ремонт или не на ходу";"https://auto.drom.ru/irkutsk/toyota/rav4/948243340.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1990000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"4WD";"111918.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/325851018.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"800000.0";"бензин, 1.8 л";"1.8 J Aero Sport";"АКПП";"125 л.с.";"2 поколение";"передний";"192540.0";"правый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/290235125.html"
