"Название";"Цена";"Двигатель";"Комплектация";"Коробка передач";"Мощность";"Поколение";"Привод";"Пробег";"Руль";"Тип кузова";"Цвет";"Особые отметки";"url"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4650000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"9000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/48968708.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"370000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"224000.0";"левый";"джип/suv 5 дв.";"белый";"требуется ремонт или не на ходу";"https://auto.drom.ru/irkutsk/toyota/rav4/597860840.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"675000.0";"бензин, 1.8 л";"1.8 J Aero Sport";"АКПП";"125 л.с.";"2 поколение";"передний";"460000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/879164750.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2490000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Плюс";"АКПП";"180 л.с.";"4 поколение";"4WD";"217000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/552558783.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1259000.0";"бензин, 2.0 л";"2.0 AT Executive";"АКПП";"152 л.с.";"3 поколение";"4WD";"217000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/352686024.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4450000.0";"бензин, 2.5 л";"2.5 AT 4WD Style";"АКПП";"199 л.с.";"5 поколение";"4WD";"80000.0";"левый";"джип/suv 5 дв.";"красный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/653037551.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2200000.0";"бензин, 2.0 л";"2.0 CVT 2WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"передний";"220000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/160338009.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2290000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"167000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/399163833.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1240000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"278974.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/220620107.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1850000.0";"бензин, 2.0 л";"2.0 CVT Престиж";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"215000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/453043113.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1590000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"237000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/394935583.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4150000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"139900.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53639697.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1750000.0";"дизель, 2.2 л";"2.2TD AT 4WD Престиж";"АКПП";"150 л.с.";"4 поколение";"4WD";"185000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/224399903.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3450000.0";"бензин, 2.5 л, гибрид";"2.5 Hybrid X 4WD";"вариатор";"178 л.с.";"5 поколение";"4WD";"50000.0";"правый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/502254837.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2500000.0";"бензин, 2.0 л";"2.0 CVT 2WD Комфорт Плюс";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"передний";"146000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/523142749.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"4100000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"60000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/897626098.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3395000.0";"бензин, 2.0 л";"2.0 X";"вариатор";"171 л.с.";"5 поколение";"передний";"68000.0";"правый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/258111107.html"
"Продажа Toyota RAV4, 2015 год в Иркутске";"2899000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"63000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/555853892.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2128000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение";"4WD";"85220.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/587918806.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1500000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"200000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/429109221.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1575000.0";"бензин, 2.0 л";"2.0 CVT Элеганс";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"168000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/728225961.html"
"Продажа Toyota RAV4, 2003 год в Иркутске";"920000.0";"бензин, 2.0 л";"2.0 AT 4WD Executive";"АКПП";"150 л.с.";"2 поколение, рестайлинг";"4WD";"275000.0";"левый";"джип/suv 5 дв.";"зеленый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/335174158.html"
"Продажа Toyota RAV4, 2005 год в Иркутске";"1100000.0";"бензин, 2.0 л";"";"автомат";"152 л.с.";"3 поколение";"4WD";"295.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/560031660.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1685000.0";"бензин, 2.0 л";"";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"200000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/50894790.html"
"Продажа Toyota RAV4, 2009 год в Иркутске";"1500000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение, рестайлинг";"4WD";"240000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/140174072.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"1990000.0";"бензин, 2.0 л";"2.0 CVT 4WD Элеганс Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"145000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/247585031.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3675000.0";"бензин, 2.5 л, гибрид";"2.5 Hybrid G 4WD";"вариатор";"178 л.с.";"5 поколение";"4WD";"72500.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/481533314.html"
"Продажа Toyota RAV4, 2015 год в Иркутске";"2750000.0";"бензин, 2.5 л";"";"АКПП";"180 л.с.";"4 поколение";"4WD";"84700.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/845358183.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"650000.0";"бензин, 2.0 л";"";"механика";"152 л.с.";"2 поколение";"4WD";"170000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/923329700.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2978000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж Safety";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"87150.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/797206815.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2635000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"121850.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/458772552.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1229000.0";"бензин, 2.0 л";"2.0 AT Luna Plus";"АКПП";"152 л.с.";"3 поколение";"4WD";"181950.0";"левый";"джип/suv 5 дв.";"";"";"https://auto.drom.ru/irkutsk/toyota/rav4/176555785.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"748000.0";"бензин, 1.8 л";"1.8 J Aero Sport";"АКПП";"125 л.с.";"2 поколение";"передний";"304000.0";"правый";"джип/suv 3 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/355916855.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3500000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"199 л.с.";"5 поколение";"4WD";"80000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/53453824.html"
"Продажа Toyota RAV4, 2018 год в Иркутске";"2830000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж Safety";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"122800.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/702306010.html"
"Продажа Toyota RAV4, 2009 год в Иркутске";"1630000.0";"бензин, 2.4 л";"2.4 АТ Престиж Long";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"214000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/639703147.html"
"Продажа Toyota RAV4, 2010 год в Иркутске";"1600000.0";"бензин, 2.0 л";"";"вариатор";"158 л.с.";"3 поколение, 2 рестайлинг";"4WD";"188000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/785268280.html"
"Продажа Toyota RAV4, 2014 год в Иркутске";"2130000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"146 л.с.";"4 поколение";"4WD";"135000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/461847545.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1480000.0";"бензин, 2.4 л";"2.4 АТ Престиж Long";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"180000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/874697141.html"
"Продажа Toyota RAV4, 2003 год в Иркутске";"745000.0";"бензин, 1.8 л";"1.8 L X G package";"АКПП";"125 л.с.";"2 поколение, рестайлинг";"передний";"221000.0";"правый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/444171297.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"1300000.0";"бензин, 2.4 л";"2.4 Style S Package 4WD";"вариатор";"170 л.с.";"3 поколение, рестайлинг";"4WD";"102000.0";"правый";"джип/suv 5 дв.";"серебристый";"документы с проблемами, документы с проблемами, конструктор (ГТД на агрегаты)";"https://auto.drom.ru/irkutsk/toyota/rav4/569789444.html"
"Продажа Toyota RAV4, 2000 год в Иркутске";"760000.0";"бензин, 1.8 л";"1.8 J Aero Sport";"АКПП";"125 л.с.";"2 поколение";"передний";"197000.0";"правый";"джип/suv 3 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/848176202.html"
"Продажа Toyota RAV4, 2017 год в Иркутске";"2780000.0";"бензин, 2.0 л";"2.0 CVT 4WD Style";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"126500.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/44508989.html"
"Продажа Toyota RAV4, 2015 год в Иркутске";"2600000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт Плюс";"АКПП";"180 л.с.";"4 поколение";"4WD";"119000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/350842193.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1298000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"169400.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/429070047.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3100000.0";"бензин, 2.0 л";"";"вариатор";"171 л.с.";"5 поколение";"4WD";"46476.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/285059051.html"
"Продажа Toyota RAV4, 1997 год в Ангарске";"490000.0";"бензин, 2.0 л";"";"АКПП";"135 л.с.";"1 поколение";"4WD";"320000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/angarsk/toyota/rav4/342439270.html"
"Продажа Toyota RAV4, 2023 год в Ангарске";"4800000.0";"бензин, 2.5 л";"";"АКПП";"203 л.с.";"5 поколение";"4WD";"7400.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/angarsk/toyota/rav4/871740512.html"
"Продажа Toyota RAV4, 2017 год в Ангарске";"3060000.0";"бензин, 2.5 л";"2.5 AT 4WD Exclusive";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"111000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/angarsk/toyota/rav4/786187668.html"
"Продажа Toyota RAV4, 2006 год в Ангарске";"1200000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"142000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/angarsk/toyota/rav4/192678236.html"
"Продажа Toyota RAV4, 2021 год в Ангарске";"4000000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"149 л.с.";"5 поколение";"4WD";"40100.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/angarsk/toyota/rav4/587382649.html"
"Продажа Toyota RAV4, 2023 год в Ангарске";"4250000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж Плюс";"вариатор";"173 л.с.";"5 поколение";"4WD";"7000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/angarsk/toyota/rav4/321604971.html"
"Продажа Toyota RAV4, 2005 год в Ангарске";"1048000.0";"бензин, 2.0 л";"2.0 AT R4";"АКПП";"150 л.с.";"2 поколение, рестайлинг";"4WD";"275000.0";"левый";"джип/suv 5 дв.";"золотистый";"";"https://auto.drom.ru/angarsk/toyota/rav4/319047778.html"
"Продажа Toyota RAV4, 1999 год в Ангарске";"575000.0";"бензин, 2.0 л";"2.0 L personal selection C package";"АКПП";"135 л.с.";"1 поколение, рестайлинг";"передний";"300000.0";"правый";"джип/suv 3 дв.";"белый";"";"https://auto.drom.ru/angarsk/toyota/rav4/585900927.html"
"Продажа Toyota RAV4, 2008 год в Ангарске";"1570000.0";"бензин, 2.4 л";"2.4 АТ Престиж Long";"АКПП";"170 л.с.";"3 поколение, рестайлинг";"4WD";"161000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/angarsk/toyota/rav4/116365056.html"
"Продажа Toyota RAV4, 2019 год в Ангарске";"3550000.0";"бензин, 2.5 л, гибрид";"2.5 Hybrid X 4WD";"вариатор";"178 л.с.";"5 поколение";"4WD";"77000.0";"правый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/angarsk/toyota/rav4/824903007.html"
"Продажа Toyota RAV4, 2018 год в Ангарске";"2650000.0";"бензин, 2.0 л";"2.0 МТ 4WD Комфорт Плюс";"механика";"146 л.с.";"4 поколение, рестайлинг";"4WD";"127500.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/angarsk/toyota/rav4/634672932.html"
"Продажа Toyota RAV4, 1994 год в Ангарске";"450000.0";"бензин, 2.0 л";"2.0 J";"АКПП";"135 л.с.";"1 поколение";"4WD";"400000.0";"правый";"джип/suv 3 дв.";"зеленый";"";"https://auto.drom.ru/angarsk/toyota/rav4/133736017.html"
"Продажа Toyota RAV4, 2007 год в Оёке";"1100000.0";"бензин, 2.0 л";"2.0 AT Sol";"АКПП";"152 л.с.";"3 поколение";"4WD";"219000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/oek/toyota/rav4/943156097.html"
"Продажа Toyota RAV4, 2007 год в Мегете";"1300000.0";"бензин, 2.0 л";"2.0 AT Sol";"АКПП";"152 л.с.";"3 поколение";"4WD";"300000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/meget/toyota/rav4/847945120.html"
"Продажа Toyota RAV4, 2006 год в Мегете";"1100000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"250000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/meget/toyota/rav4/276202841.html"
"Продажа Toyota RAV4, 2008 год в Мегете";"1480000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"276316.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/meget/toyota/rav4/189151533.html"
"Продажа Toyota RAV4, 1995 год в Баклаши";"650000.0";"бензин, 2.0 л";"";"АКПП";"135 л.с.";"1 поколение";"4WD";"39952.0";"правый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/baklashi/toyota/rav4/509162437.html"
"Продажа Toyota RAV4, 2001 год в Хомутово";"750000.0";"бензин, 1.8 л";"1.8 J Aero Sport";"АКПП";"125 л.с.";"2 поколение";"передний";"389000.0";"правый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/homutovo-irk/toyota/rav4/256188840.html"
"Продажа Toyota RAV4, 2007 год в Шелехове";"1199000.0";"бензин, 2.4 л";"2.4 AT Sol";"АКПП";"170 л.с.";"3 поколение";"4WD";"242000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/shelehov/toyota/rav4/538729855.html"
"Продажа Toyota RAV4, 2008 год в Шелехове";"1750000.0";"бензин, 2.4 л";"";"вариатор";"170 л.с.";"3 поколение";"4WD";"180000.0";"правый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/shelehov/toyota/rav4/130406327.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1250000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"243.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/383016946.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3260000.0";"бензин, 2.0 л";"2.0 CVT Premium";"вариатор";"171 л.с.";"5 поколение";"4WD";"40000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/410508819.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"4700000.0";"бензин, 2.5 л";"2.5 AT 4WD Престиж";"АКПП";"199 л.с.";"5 поколение";"4WD";"63000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/240682905.html"
"Продажа Toyota RAV4, 2008 год в Иркутске";"1430000.0";"бензин, 2.0 л";"";"АКПП";"152 л.с.";"3 поколение";"4WD";"209.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/289951296.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2050000.0";"дизель, 2.2 л";"2.2TD AT 4WD Престиж";"АКПП";"150 л.с.";"4 поколение";"4WD";"131000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/216016406.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3145000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"100000.0";"левый";"джип/suv 5 дв.";"синий";"";"https://auto.drom.ru/irkutsk/toyota/rav4/219139781.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3800000.0";"бензин, 2.0 л";"";"вариатор";"149 л.с.";"5 поколение";"4WD";"49000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/640042982.html"
"Продажа Toyota RAV4, 2013 год в Иркутске";"2250000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж Плюс";"вариатор";"146 л.с.";"4 поколение";"4WD";"147000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/791947695.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3700000.0";"бензин, 2.0 л";"2.0 CVT 4WD Комфорт";"вариатор";"149 л.с.";"5 поколение";"4WD";"47000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/873843718.html"
"Продажа Toyota RAV4, 2001 год в Иркутске";"740000.0";"бензин, 2.0 л";"2.0 L X";"АКПП";"152 л.с.";"2 поколение";"4WD";"341000.0";"правый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/298942941.html"
"Продажа Toyota RAV4, 2022 год в Иркутске";"8000000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"46000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/782861436.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"3400000.0";"бензин, 2.0 л";"2.0 CVT 4WD Престиж";"вариатор";"149 л.с.";"5 поколение";"4WD";"86767.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/175965510.html"
"Продажа Toyota RAV4, 2006 год в Иркутске";"1200000.0";"бензин, 2.0 л";"2.0 AT";"АКПП";"152 л.с.";"3 поколение";"4WD";"260000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/725711758.html"
"Продажа Toyota RAV4, 2016 год в Иркутске";"2900000.0";"бензин, 2.5 л";"2.5 AT 4WD Комфорт";"АКПП";"180 л.с.";"4 поколение, рестайлинг";"4WD";"115000.0";"левый";"джип/suv 5 дв.";"белый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/623077541.html"
"Продажа Toyota RAV4, 2011 год в Иркутске";"1480000.0";"бензин, 2.0 л";"";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"199000.0";"левый";"джип/suv 5 дв.";"черный";"";"https://auto.drom.ru/irkutsk/toyota/rav4/523866224.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1290000.0";"бензин, 2.0 л";"2.0 AT Executive";"АКПП";"152 л.с.";"3 поколение";"4WD";"250000.0";"левый";"джип/suv 5 дв.";"серебристый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/112673856.html"
"Продажа Toyota RAV4, 2007 год в Иркутске";"1290000.0";"бензин, 2.0 л";"2.0 AT Luna Plus";"АКПП";"152 л.с.";"3 поколение";"4WD";"225000.0";"левый";"джип/suv 5 дв.";"бежевый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/596785023.html"
"Продажа Toyota RAV4, 2020 год в Иркутске";"3200000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"149 л.с.";"5 поколение";"передний";"100100.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/484599262.html"
"Продажа Toyota RAV4, 2019 год в Иркутске";"2799000.0";"бензин, 2.0 л";"";"вариатор";"146 л.с.";"4 поколение, рестайлинг";"4WD";"60000.0";"левый";"джип/suv 5 дв.";"бордовый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/602527601.html"
"Продажа Toyota RAV4, 2021 год в Иркутске";"3990000.0";"бензин, 2.0 л";"";"вариатор";"149 л.с.";"5 поколение";"4WD";"82000.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/321864134.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"1800000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"177777.0";"левый";"джип/suv 5 дв.";"коричневый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/238287676.html"
"Продажа Toyota RAV4, 2012 год в Иркутске";"1749000.0";"бензин, 2.0 л";"2.0 CVT Комфорт";"вариатор";"148 л.с.";"3 поколение, 2 рестайлинг";"4WD";"214000.0";"левый";"джип/suv 5 дв.";"серый";"";"https://auto.drom.ru/irkutsk/toyota/rav4/134675533.html"
